id,image_path,ocr_text,caption
lich-su-va-dia-li-6_page_1.jpg,/kaggle/input/sgk-6-7/lichsu_diali_67/lich-su-va-dia-li-6_page_1.jpg,"HÀ BÍCH LIÊN (Chủ biên phần Lịch sử)
NGUYỄN TRÀ MY – MAI THỊ PHÚ PHƯƠNG
NGUYỄN KIM TƯỞNG VY
NGUYỄN KIM HỒNG (Tổng Chủ biên phần Địa lí)
PHẠM THỊ BÌNH (Chủ biên phần Địa lí)
NGUYỄN HỮU BÁCH – VŨ THỊ BẮC
NGUYỄN THỊ KIM LIÊN – HUỲNH PHẨM DŨNG PHÁT
PHAN VĂN PHÚ – HÀ VĂN THẮNG – PHẠM ĐỖ VĂN TRUNG
LỊCH SỬ
VÀ
ĐỊA LÍ 6
NHÀ XUẤT BẢN GIÁO DỤC VIỆT NAM","Trang bìa sách ""Lịch Sử và Địa Lí 6"" của Nhà Xuất bản Giáo dục Việt Nam. Trang bìa có hình ảnh một nhân vật đang ngồi trên một con ngựa, mặc áo choàng màu đỏ và vàng, với biểu tượng mặt trời ở giữa. Hình ảnh này thể hiện sự kết hợp giữa lịch sử và địa lý. Bên cạnh đó, còn có một quả địa cầu màu nâu, thể hiện chủ đề địa lý. Trong góc trên bên trái, có logo ""Chân trời sáng tạo""."
lich-su-va-dia-li-6_page_10.jpg,/kaggle/input/sgk-6-7/lichsu_diali_67/lich-su-va-dia-li-6_page_10.jpg,"CHƯƠNG 1
TẠI SAO CẦN HỌC LỊCH SỬ?

Lịch sử thế giới của chúng ta được hình dung giống như chiếc hộp bên cạnh. Nó chứa đựng trong đó những sự kiện và năm tháng mà loài người đã trải qua. Mỗi đồ vật trong chiếc hộp đều có câu chuyện lịch sử riêng. Giải mã được nội dung của chúng sẽ giúp chúng ta phần nào biết được chuyện gì đã xảy ra trong quá khứ? Chuyện đó xảy ra vào lúc nào và ở đâu?

Trong chương này, các em sẽ được tìm hiểu:
- Lịch sử và môn Lịch sử là gì?
- Vì sao cần học môn Lịch sử?
- Dựa vào đâu để biết và dụng lại lịch sử?
- Cách tính thời gian trong lịch sử.

9","Hình ảnh minh họa cho nội dung văn bản, mô tả một chiếc hộp mở ra với nhiều đồ vật lịch sử, bao gồm một mặt nạ Ai Cập, một kiếm, một vương miện, một cung, một đĩa, một bình, và một số tiền xu. Hộp được trang trí bằng màu vàng và nâu, tạo nên một cảm giác cổ điển và lịch sử."
lich-su-va-dia-li-6_page_100.jpg,/kaggle/input/sgk-6-7/lichsu_diali_67/lich-su-va-dia-li-6_page_100.jpg,"Cuối năm 938, đoàn thuyền chiến do Lưu Hoàng Tháo chỉ huy tiến vào cửa sông Bạch Đằng. Nhân lúc thuỷ triều lên, Ngô Quyền cho thuyền nhỏ ra khiêu chiến, nhử quân giặc tiến sâu vào cửa sông. Lưu Hoàng Tháo cho quân đuổi theo, vượt qua bãi cọc ngầm.

Dợi khi thuỷ triều rút, Ngô Quyền hạ lệnh tấn công. Quân giặc thua và phải rút ra biển, thuyền va vào cọc nhọn. Ta đem thuyền ra đánh, quân giặc hoảng loạn nhảy xuống sông. Lưu Hoàng Tháo tử trận.

Trận Bạch Đằng năm 938 đã chấm dứt thời Bắc thuộc, mở ra một thời kì mới trong lịch sử dân tộc ta – thời kì độc lập, tự chủ lâu dài.

19.5

""Chiến thắng Bạch Đằng là cơ sở của việc phục hồi quốc thống. Về sau đến thời Đinh, Lê, Lý, Trần vẫn còn nhờ vào dư âm lãm liệt của trận ấy. Võ công lớn ấy còn vĩ đại đến nghìn năm, chứ có phải chỉ rạng rỡ một thời mà thôi đâu!""

(Ngô Thị Sĩ, Đại Việt sử ký tiền biên, NXB Khoa học xã hội, Hà Nội, 1997, tr. 140)

LUYỆN TẬP - VẬN DỤNG

Luyện tập

1. Điền sự kiện vào các mốc thời gian trong sơ đồ bên dưới? Tại sao những sự kiện đó lại tạo nên bước ngoặt lịch sử đầu thế kỉ X?

905
907
931
938

Vận dụng

2. Em hãy tra cứu thông tin để biết hiện nay có những con đường, trường học, làng xã hay di tích lịch sử... nào mang tên các vị anh hùng dân tộc trong thời Bắc thuộc ở nơi em đang sống.","Hình 1: Tranh minh họa nhân vật Lưu Hoàng Tháo đang chỉ đạo quân đội tiến vào cửa sông Bạch Đằng. Hành động của nhân vật được thể hiện bằng màu đỏ và biểu tượng chỉ đạo.

Hình 2: Sơ đồ lịch sử với các mốc thời gian 905, 907, 931, 938. Các mốc này được đánh dấu bằng màu xanh lá cây và số liệu tương ứng."
lich-su-va-dia-li-6_page_101.jpg,/kaggle/input/sgk-6-7/lichsu_diali_67/lich-su-va-dia-li-6_page_101.jpg,"Bài 20
VƯƠNG QUỐC CHĂM-PA
TỪ THẾ KỈ II ĐẾN THẾ KỈ X

Học xong bài này, em sẽ:
* Mô tả được sự thành lập và quá trình phát triển của vương quốc Chăm-pa.
* Trình bày được những nét chính về kinh tế và tổ chức xã hội của Chăm-pa.
* Nhận biết được một số thành tựu văn hoá của Chăm-pa.

I. SỰ RA ĐỜI VÀ QUÁ TRÌNH PHÁT TRIỂN CỦA VƯƠNG QUỐC CHĂM-PA

Vương quốc Chăm-pa ra đời sau cuộc khởi nghĩa năm 192 ở huyện Tượng Lâm (Quảng Nam, Quảng Ngãi, Bình Định ngày nay) thuộc quận Nhật Nam. Một thủ lĩnh người địa phương tên là Khu Liên đã lãnh đạo nhân dân đánh phá châu thành, giết thứ sử Hán, giành được quyền tự chủ, lập nước với tên gọi ban đầu là Lâm Ấp. Từ thế kỉ VII, tên nước gọi là Chăm-pa.

20.1 Vùng hạ lưu sông Thu Bồn, Quảng Nam – nơi gắn với lịch sử hình thành và phát triển của vương quốc Chăm-pa trước thế kỉ X (Ảnh: Nguyễn Điện Ngọc)","Hình 1: Hai nhân vật ngồi trò chuyện, biểu tượng cho việc mô tả quá trình phát triển của vương quốc Chăm-pa.

Hình 2: Ảnh chụp vùng hạ lưu sông Thu Bồn, Quảng Nam, nơi gắn với lịch sử hình thành và phát triển của vương quốc Chăm-pa trước thế kỉ X."
lich-su-va-dia-li-6_page_102.jpg,/kaggle/input/sgk-6-7/lichsu_diali_67/lich-su-va-dia-li-6_page_102.jpg,"Từ thế kỉ II đến thế kỉ X, vương quốc Chăm-pa trải qua ba vương triều. Các trung tâm quan trọng của vương quốc gắn với những vùng địa lí khác nhau của miền Trung. Cuối thế kỉ IX, lãnh thổ Chăm-pa mở rộng nhất, bao gồm toàn bộ vùng ven biển, trải dài từ dãy Hoành Sơn (Hà Tĩnh) ở phía bắc đến sông Dinh (Ninh Thuận) ở phía nam.

Cuối thế kỉ II
Chăm-pa thành lập
Kinh đô:
Sin-ha-pu-ra
(Duy Xuyên,
Quảng Nam).

Đầu thế kỉ VIII
Dời kinh đô về
phía nam.
Kinh đô:
Vi-ra-pu-ra
(Phan Rang,
Ninh Thuận).

Cuối thế kỉ IX
Chuyển kinh đô
về lại phía bắc.
Kinh đô:
In-dra-pu-ra
(Thăng Bình,
Quảng Nam).

Cuối thế kỉ X
Chuyển kinh đô
về Vi-giay-a
(Bình Định).

20.2 Sơ đồ quá trình phát triển của vương quốc Chăm-pa từ thế kỉ II đến thế kỉ X

II. KINH TẾ VÀ TỔ CHỨC XÃ HỘI

Em hãy nêu những hoạt động kinh tế chính của cư dân vương quốc Chăm-pa. Hoạt động nào quan trọng nhất? Tại sao?

Dựa vào sơ đồ 20.4, em hãy cho biết: Xã hội Chăm-pa có những tầng lớp nào? Mô tả công việc của họ.

Hoạt động kinh tế chủ yếu của cư dân Chăm-pa là sản xuất nông nghiệp. Họ trồng lúa trên nhiều loại ruộng khác nhau ruộng trũng, ruộng cao, ruộng chua mặn,... Họ đã biết sử dụng công cụ lao động bằng sắt và sức kéo của trâu bò.

Chăm-pa nổi tiếng về các loại khoáng sản như vàng, bạc, hổ phách,... và nhiều làm sản quý như ngà voi, sừng tê giác, nổi tiếng nhất là trầm hương. Vì vậy, dân cư còn sinh sống bằng nghề khai thác làm sản.

Biển giữ một vai trò quan trọng trong hoạt động kinh tế của Chăm-pa. Một bộ phận lớn dân cư sống bằng nghề đánh cá và trao đổi sản vật với thuyền buôn đến từ nước ngoài.

Trầm hương, sản vật có giá trị cao,
dùng làm cổng phẩm và để buôn bán
(Ảnh: Văn Thành Châu)

101","- Bức ảnh mô tả lịch sử phát triển của vương quốc Chăm-pa từ thế kỷ II đến thế kỷ X.
- Bức ảnh minh họa cho sự chuyển đổi của kinh đô Chăm-pa qua các thời kỳ.
- Bức ảnh mô tả hoạt động kinh tế chính của cư dân Chăm-pa, tập trung vào sản xuất nông nghiệp và khai thác các loại khoáng sản quý.
- Bức ảnh minh họa cho sự quan trọng của biển đối với kinh tế của Chăm-pa, đặc biệt là nghề đánh cá và buôn bán với nước ngoài."
lich-su-va-dia-li-6_page_103.jpg,/kaggle/input/sgk-6-7/lichsu_diali_67/lich-su-va-dia-li-6_page_103.jpg,"Sự đa dạng của nhiều ngành nghề đã tạo nên một xã hội với nhiều tầng lớp khác nhau từ quý tộc đến thường dân.
20.4 Sơ đồ tổ chức xã hội Champa
III. NHỮNG THÀNH TỰU VĂN HÓA TIÊU BIỂU
Quan sát các hình từ 20.5 đến 20.7, em hãy nêu những thành tựu văn hoá tiêu biểu của Champa từ thế kỉ II đến thế kỉ X.
Trên cơ sở tiếp thu chữ Phạn của Ấn Độ, Champa đã có chữ viết riêng vào thế kỉ IV.
20.5 Một văn bia Champa, thế kỉ VII, di tích Mỹ Sơn (Quảng Nam)","Hình 1: Sơ đồ tổ chức xã hội Champa, thể hiện sự phân cấp rõ ràng từ quý tộc đến thường dân.
Hình 2: Mô tả các thành tựu văn hóa tiêu biểu của Champa từ thế kỷ II đến thế kỷ X.
Hình 3: Văn bia Champa, thế kỷ VII, tại di tích Mỹ Sơn, Quảng Nam, thể hiện sự phát triển văn hóa độc đáo của người Champa."
lich-su-va-dia-li-6_page_104.jpg,/kaggle/input/sgk-6-7/lichsu_diali_67/lich-su-va-dia-li-6_page_104.jpg,"Hai tôn giáo Ấn Độ là Bà La Môn và Phật giáo đều du nhập vào Chăm-pa, góp phần tạo nên những thành tựu xuất sắc trong lĩnh vực nghệ thuật.
Âm nhạc và múa để phục vụ các nghi lễ tôn giáo, nên tạo ra một tầng lớp đông đảo nhạc công, vũ nữ.
Nhiều công trình kiến trúc, các tác phẩm điêu khắc vẫn được bảo tồn đến ngày nay.
20.6 Nhạc công và vũ nữ, trang trí bệ thờ, thế kỉ VIII, di tích Mỹ Sơn (Quảng Nam)
Em có biết?
Khu đền tháp Mỹ Sơn thuộc huyện Duy Xuyên, tỉnh Quảng Nam, gồm hơn 70 đền đài, toạ lạc trong một thung lũng có đường kính khoảng 2 km, bao quanh bởi đồi núi. Đây từng là nơi tổ chức cúng tế thần Si-va (Shiva) của các vương triều Chăm-pa. Di tích Mỹ Sơn nằm trong danh sách xếp hạng 23 di tích quốc gia đặc biệt quan trọng. Từ năm 1999, di tích này đã được UNESCO công nhận là di sản văn hoá thế giới.
20.7 Tháp Mỹ Sơn B1, thế kỉ X, di tích Mỹ Sơn (Quảng Nam)

LUYỆN TẬP – VẬN DỤNG
Luyện tập
1. Hoạt động kinh tế của cư dân Chăm-pa xưa gắn với biển như thế nào?
2. Em hãy nêu những hoạt động kinh tế chủ yếu của cư dân Chăm-pa xưa. Hoạt động kinh tế nào vẫn được cư dân miền Trung Việt Nam ngày nay chủ trọng?

Vận dụng
3. Những thành tựu văn hoá tiêu biểu nào của vương quốc Chăm-pa vẫn được bảo tồn đến ngày nay? Di tích văn hoá Chăm nào được UNESCO công nhận là di sản văn hoá thế giới?","Hình 1: Tượng điêu khắc âm nhạc và vũ nữ tại bệ thờ, di tích Mỹ Sơn, Quảng Nam.
Hình 2: Tháp Mỹ Sơn B1, một trong những di tích quan trọng của Chăm-pa, nằm ở Quảng Nam."
lich-su-va-dia-li-6_page_105.jpg,/kaggle/input/sgk-6-7/lichsu_diali_67/lich-su-va-dia-li-6_page_105.jpg,"Bài 21
VƯƠNG QUỐC CỔ PHÙ NAM

Học xong bài này, em sẽ:
* Mô tả được sự thành lập, quá trình phát triển và suy vong của Phù Nam.
* Trình bày được những nét chính về tổ chức xã hội và kinh tế của Phù Nam.
* Nhận biết được một số thành tựu văn hoá của Phù Nam.

I. QUÁ TRÌNH THÀNH LẬP, PHÁT TRIỂN VÀ SUY VONG CỦA PHÙ NAM

Em hãy mô tả quá trình hình thành, phát triển và suy vong của vương quốc Phù Nam.

Địa bàn chủ yếu của vương quốc cổ Phù Nam thuộc Nam Bộ Việt Nam ngày nay. Phần lớn vùng đất này thường bị ngập vào mùa mưa khi nước sông Mê Công dâng lên và bị xâm nhập mặn từ biển vào mùa khô.

Vương quốc cổ Phù Nam ra đời vào khoảng thế kỉ I, gắn với các thành thị nối với nhau thông qua hệ thống kênh rạch chằng chịt đổ ra biển, trong đó thương cảng ở vị trí di chỉ Óc Eo (thuộc An Giang ngày nay) là quan trọng hơn cả.

Em có biết?

Khảo cổ học đã phát hiện những dấu tích của một hệ thống các thành thị cổ Phù Nam ở vùng Đồng bằng sông Cửu Long. Nổi bật trong đó là Óc Eo ở An Giang; Nền Chùa và Cạnh Đền ở Kiên Giang; Gò Tháp ở Đồng Tháp. Các thành thị này được xây dựng trên bờ kênh ngập nước 5 đến 6 tháng mỗi năm, chỉ cách biển từ 2 km đến 10 km và nối với nhau bằng những con kênh.

21.1 Lược đồ một số thành thị cổ của Phù Nam","Bài 21: Vương Quốc Cổ Phù Nam

- Bức ảnh mô tả quá trình hình thành, phát triển và suy vong của vương quốc Phù Nam.
- Bức ảnh mô tả địa bàn chủ yếu của vương quốc cổ Phù Nam thuộc Nam Bộ Việt Nam ngày nay.
- Bức ảnh mô tả quá trình ra đời của vương quốc cổ Phù Nam vào khoảng thế kỉ I.
- Bức ảnh mô tả hệ thống các thành thị cổ Phù Nam ở vùng Đồng bằng sông Cửu Long.
- Bức ảnh mô tả các thành thị cổ Phù Nam như Óc Eo, Nền Chùa, Cạnh Đền, Gò Tháp.
- Bức ảnh mô tả các thành thị này được xây dựng trên bờ kênh ngập nước 5 đến 6 tháng mỗi năm, chỉ cách biển từ 2 km đến 10 km và nối với nhau bằng những con kênh."
lich-su-va-dia-li-6_page_106.jpg,/kaggle/input/sgk-6-7/lichsu_diali_67/lich-su-va-dia-li-6_page_106.jpg,"Từ thế kỉ III đến thế kỉ V, Phù Nam là quốc gia phát triển nhất trong khu vực Đông Nam Á. Thời gian này, Phù Nam là trung tâm kết nối giao thương và văn hoá giữa các cộng đồng dân cư trong khu vực với Ấn Độ, Trung Quốc. Từ thế kỉ III, Phù Nam bắt đầu mở rộng lãnh thổ, nhiều lần còn chinh phục các xứ lân bang. Thế kỉ VI, Phù Nam bắt đầu suy yếu và bị Chân Lạp thôn tính. Vương quốc Phù Nam sụp đổ vào khoảng đầu thế kỉ VII. Các thành thị cổ nổi tiếng một thời như Óc Eo (An Giang) cũng đột ngột biến mất.

II. HOẠT ĐỘNG KINH TẾ VÀ TỔ CHỨC XÃ HỘI

Em hãy nêu những hoạt động kinh tế chính của cư dân Phù Nam.
Em hãy kể tên những tầng lớp trong xã hội Phù Nam.
Nêu những hoạt động chính của thành thị Óc Eo. Những tầng lớp cư dân nào trong xã hội cư trú ở Óc Eo trước khi nó sụp đổ?

1. Hoạt động kinh tế

Phần lớn cư dân Phù Nam sống bằng nghề trồng lúa. Mạng lưới sông ngòi dày đặc và lượng lớn phù sa bồi đắp hằng năm cho vùng châu thổ đã mang đến những thuận lợi để phát triển nông nghiệp, dân Phù Nam có thể ""gieo (lúa) một năm, gặt hái ba năm"".

Nhiều sản phẩm thủ công nghiệp độc đáo thể hiện đặc trưng của vùng văn hoá sông nước vẫn còn tồn tại đến ngày nay.

21.2 Bình gốm thế kỉ IV-VI (Bảo tàng Lịch sử Thành phố Hồ Chí Minh)

Người Phù Nam còn rất giỏi buôn bán. Họ mở cửa giao lưu thương mại, trao đổi sản vật và hàng hoá với thương nhân các nước như Ấn Độ, Trung Quốc, Ả Rập, Mã Lai,... Hoạt động buôn bán nhộn nhịp ở các cảng thị, đặc biệt ở Óc Eo.

21.3 Sự giàu có của thương cảng Óc Eo (hình vẽ dựa trên di tích và hiện vật)","(Nội dung mô tả tại đây)

---OCR---
(Nội dung văn bản tại đây)"
lich-su-va-dia-li-6_page_107.jpg,/kaggle/input/sgk-6-7/lichsu_diali_67/lich-su-va-dia-li-6_page_107.jpg,"2. Tổ chức xã hội
Xã hội Phù Nam có nhiều tầng lớp: Quý tộc, nông dân, thương nhân, thợ thủ công.
Quý tộc và phần lớn thương nhân, thợ thủ công sống trong các thành thị. Thợ thủ công làm nghề kim hoàn, làm đồ trang sức, tạc tượng, còn thương nhân buôn bán và trao đổi sản vật, hàng hoá.
Sự tinh tế của đồ trang sức bằng kim loại và đá quý không chỉ minh chứng cho sự phát triển của thủ công nghiệp và ngoại thương mà còn cho thấy thành thị, nơi sinh sống của những tầng lớp cư dân khác nhau, đã giữ vai trò quan trọng trong tổ chức xã hội của Phù Nam.
III. MỘT SỐ THÀNH TỰU VĂN HÓA
Dựa vào thông tin và những tư liệu bên dưới, em hãy trình bày một số thành tựu văn hoá của cư dân Phù Nam.
Đời sống hằng ngày gắn bó với sông nước là đặc trưng dễ nhận biết nhất của văn hoá Phù Nam. Người Phù Nam ở nhà sàn, làm nhà trên kênh rạch, xây thành thị ở những vùng đất nổi, đi lại chủ yếu bằng mảng, ghe thuyền.
Em có biết?
Người Phù Nam đun nước trong những chiếc ấm vôi cổ ngõng và nấu thức ăn bằng nồi gốm đặt trên cà ràng. Cà ràng là loại lò đất có đáy giữ tro, có thể đun bằng củi hoặc than rất thuận tiện khi ở trên nhà sàn hay di chuyển trên ghe, thuyền. Ngày nay, cà ràng vẫn được sử dụng khá phổ biến ở vùng nông thôn Tây Nam Bộ.
21.4 Hiện vật cà ràng trong văn hoá Óc Eo","Hình 1: Hai người trẻ đang ngồi trò chuyện.
Hình 2: Một chiếc ấm vôi cổ ngõng và một nồi gốm đặt trên cà ràng."
